company_id,company_name,website,industry,primary_service,country,city,state,employee_range,estimated_revenue_usd,founded_year,ownership,customer_profile,business_model,revenue_model,geography,key_services,growth_signal,reputation_signal,technology_stack,linkedin_url,company_description,demo_fit
C001,CloudNova Systems,https://cloudnovasystems.com,B2B SaaS,Cloud infrastructure management software,United States,Austin,Texas,101-250,18.5M,2018,Private,Mid-market businesses; enterprise IT teams,B2B SaaS,Subscription,North America,Cloud management; DevOps automation,Growing,Positive,AWS; Kubernetes; Terraform,https://www.linkedin.com/company/cloudnova-systems,Cloud infrastructure automation platform for mid-market and enterprise customers,High
C002,DataForge Analytics,https://dataforgeanalytics.com,B2B SaaS,Business intelligence and analytics,United States,Denver,Colorado,51-100,9.2M,2019,Private,Mid-market businesses; data teams,B2B SaaS,Subscription,North America,BI dashboards; data analytics,Growing,Positive,Snowflake; dbt; AWS,https://www.linkedin.com/company/dataforge-analytics,Analytics platform helping businesses turn operational data into dashboards and insights,High
C003,SecureStack Technologies,https://securestacktech.com,Cybersecurity,Cloud security and compliance platform,United States,Boston,Massachusetts,101-250,22.0M,2017,Private,Enterprise IT and security teams,B2B SaaS,Subscription,North America,Cloud security; compliance automation,Growing,Positive,AWS; Azure; Kubernetes,https://www.linkedin.com/company/securestack-technologies,Cloud security platform focused on compliance and infrastructure protection,High
C004,RetailFlow Commerce,https://retailflowcommerce.com,E-commerce Software,Retail inventory and order management,United States,Chicago,Illinois,51-100,11.4M,2020,Private,Retailers; e-commerce brands,B2B SaaS,Subscription,North America,Inventory management; order automation,Growing,Positive,Shopify; AWS; PostgreSQL,https://www.linkedin.com/company/retailflow-commerce,Commerce operations platform for growing retail and e-commerce companies,Medium
C005,FleetOps Cloud,https://fleetopscloud.com,Logistics Technology,Fleet and transportation management software,United States,Dallas,Texas,101-250,16.8M,2016,Private,Logistics companies; fleet operators,B2B SaaS,Subscription,North America,Fleet management; route optimization,Growing,Positive,AWS; React; PostgreSQL,https://www.linkedin.com/company/fleetops-cloud,Cloud-based fleet management and route optimization platform,Medium
C006,MedConnect Digital,https://medconnectdigital.com,Healthcare Technology,Healthcare workflow and patient engagement software,United States,Boston,Massachusetts,51-100,8.7M,2021,Private,Healthcare providers; clinics,B2B SaaS,Subscription,North America,Patient engagement; healthcare workflows,Growing,Positive,AWS; React; Node.js,https://www.linkedin.com/company/medconnect-digital,Healthcare software company providing digital workflow and engagement tools,Medium
C007,MarketPulse CRM,https://marketpulsecrm.com,Sales Technology,CRM and sales automation software,United States,New York,New York,101-250,20.5M,2017,Private,SMB and mid-market sales teams,B2B SaaS,Subscription,North America,CRM; sales automation,Growing,Positive,AWS; PostgreSQL; React,https://www.linkedin.com/company/marketpulse-crm,CRM platform focused on sales automation and pipeline management,High
C008,GreenGrid Energy,https://greengridenergy.com,Clean Technology,Energy monitoring and optimization software,United States,San Francisco,California,51-100,7.9M,2019,Private,Commercial property owners; energy teams,B2B SaaS,Subscription,North America,Energy analytics; optimization,Growing,Positive,AWS; Python; React,https://www.linkedin.com/company/greengrid-energy,Energy intelligence platform helping commercial customers monitor and optimize usage,Medium
C009,DevFlow Automation,https://devflowautomation.com,Developer Tools,CI/CD and developer workflow automation,United States,Seattle,Washington,101-250,24.1M,2016,Private,Software engineering teams,B2B SaaS,Subscription,Global,CI/CD; DevOps automation,Growing,Positive,GitHub; Kubernetes; AWS,https://www.linkedin.com/company/devflow-automation,Developer productivity and CI/CD automation platform for engineering teams,High
C010,LegacyBridge Solutions,https://legacybridgesolutions.com,IT Services,Legacy application modernization,United States,Atlanta,Georgia,251-500,31.5M,2012,Private,Large enterprises,Professional Services,Project + recurring services,North America,Application modernization; cloud migration,Stable,Positive,AWS; Azure; .NET,https://www.linkedin.com/company/legacybridge-solutions,Technology services firm specializing in modernization and cloud migration,Low
C011,QuickServe POS,https://quickservepos.com,Retail Technology,Point-of-sale and restaurant management,United States,Miami,Florida,51-100,10.1M,2018,Private,Restaurants; franchise operators,B2B SaaS,Subscription + transaction fees,North America,POS; restaurant management,Growing,Positive,AWS; React; PostgreSQL,https://www.linkedin.com/company/quickserve-pos,Restaurant point-of-sale and operations management platform,Medium
C012,FinancePilot,https://financepilot.com,FinTech,Financial planning and reporting software,United States,New York,New York,101-250,19.3M,2015,Private,Finance teams; CFO organizations,B2B SaaS,Subscription,North America,Financial reporting; FP&A,Growing,Positive,AWS; Python; PostgreSQL,https://www.linkedin.com/company/financepilot,Financial planning and reporting software for finance organizations,High
